n,rank,function,log_value,raw_value
5,1,log2(n),0.842398,2.32193
5,2,12*sqrt(n),3.289626,26.8328
5,3,1/n,-1.609438,0.2
5,4,n^log2(n),3.736999,41.9718
5,5,100n^2+6n,7.835975,2530
5,6,n^0.51,0.820813,2.27235
5,7,n^2-324,-1.#IND00,-299
5,8,50*n^0.5,4.716742,111.803
5,9,2n^3,5.521461,250
5,10,3^n,5.493061,243
5,11,2^32*n,23.790148,2.14748e+010
5,12,n*log2(n),2.451836,11.6096
10,1,log2(n),1.200545,3.32193
10,2,12*sqrt(n),3.636199,37.9473
10,3,1/n,-2.302585,0.1
10,4,n^log2(n),7.649022,2098.59
10,5,100n^2+6n,9.216322,10060
10,6,n^0.51,1.174318,3.23594
10,7,n^2-324,-1.#IND00,-224
10,8,50*n^0.5,5.063316,158.114
10,9,2n^3,7.600902,2000
10,10,3^n,10.986123,59049
10,11,2^32*n,24.483295,4.29497e+010
10,12,n*log2(n),3.503130,33.2193
20,1,1/n,-2.995732,0.05
20,2,log2(n),1.463702,4.32193
20,3,n^0.51,1.527823,4.60814
20,4,12*sqrt(n),3.982773,53.6656
20,5,n^2-324,4.330733,76
20,6,n*log2(n),4.459434,86.4386
20,7,50*n^0.5,5.409889,223.607
20,8,2n^3,9.680344,16000
20,9,100n^2+6n,10.599630,40120
20,10,n^log2(n),12.947339,419718
20,11,3^n,21.972246,3.48678e+009
20,12,2^32*n,25.176442,8.58993e+010
50,1,1/n,-3.912023,0.02
50,2,log2(n),1.730568,5.64386
50,3,n^0.51,1.995132,7.35317
50,4,12*sqrt(n),4.440918,84.8528
50,5,n*log2(n),5.642591,282.193
50,6,50*n^0.5,5.868035,353.553
50,7,n^2-324,7.685244,2176
50,8,2n^3,12.429216,250000
50,9,100n^2+6n,12.430415,250300
50,10,n^log2(n),22.078895,3.8792e+009
50,11,2^32*n,26.092733,2.14748e+011
50,12,3^n,54.930614,7.17898e+023
100,1,1/n,-4.605170,0.01
100,2,log2(n),1.893693,6.64386
100,3,n^0.51,2.348637,10.4713
100,4,12*sqrt(n),4.787492,120
100,5,50*n^0.5,6.214608,500
100,6,n*log2(n),6.498863,664.386
100,7,n^2-324,9.177404,9676
100,8,100n^2+6n,13.816110,1.0006e+006
100,9,2n^3,14.508658,2e+006
100,10,2^32*n,26.785880,4.29497e+011
100,11,n^log2(n),30.596088,1.9396e+013
100,12,3^n,109.861229,5.15378e+047
500,1,1/n,-6.214608,0.002
500,2,log2(n),2.193416,8.96578
500,3,n^0.51,3.169450,23.7944
500,4,12*sqrt(n),5.592211,268.328
500,5,50*n^0.5,7.019327,1118.03
500,6,n*log2(n),8.408024,4482.89
500,7,n^2-324,12.427919,249676
500,8,100n^2+6n,17.034506,2.5003e+007
500,9,2n^3,19.336971,2.5e+008
500,10,2^32*n,28.395318,2.14748e+012
500,11,n^log2(n),55.718836,1.579e+024
500,12,3^n,549.306144,3.63603e+238
1000,1,1/n,-6.907755,0.001
1000,2,log2(n),2.299158,9.96578
1000,3,n^0.51,3.522955,33.8844
1000,4,12*sqrt(n),5.938784,379.473
1000,5,50*n^0.5,7.365901,1581.14
1000,6,n*log2(n),9.206913,9965.78
1000,7,n^2-324,13.815187,999676
1000,8,100n^2+6n,18.420741,1.00006e+008
1000,9,2n^3,21.416413,2e+009
1000,10,2^32*n,29.088465,4.29497e+012
1000,11,n^log2(n),68.841199,7.89501e+029
1000,12,3^n,1098.612289,1.#INF
5000,1,1/n,-8.517193,0.0002
5000,2,log2(n),2.508600,12.2877
5000,3,n^0.51,4.343769,76.9972
5000,4,12*sqrt(n),6.743503,848.528
5000,5,50*n^0.5,8.170620,3535.53
5000,6,n*log2(n),11.025793,61438.6
5000,7,n^2-324,17.034373,2.49997e+007
5000,8,100n^2+6n,21.639569,2.50003e+009
5000,9,2n^3,26.244727,2.5e+011
5000,10,2^32*n,30.697903,2.14748e+013
5000,11,n^log2(n),104.656820,2.83061e+045
5000,12,3^n,5493.061443,1.#INF
10000,1,1/n,-9.210340,0.0001
10000,2,log2(n),2.586840,13.2877
10000,3,n^0.51,4.697274,109.648
10000,4,12*sqrt(n),7.090077,1200
10000,5,50*n^0.5,8.517193,5000
10000,6,n*log2(n),11.797180,132877
10000,7,n^2-324,18.420678,9.99997e+007
10000,8,100n^2+6n,23.025857,1.00001e+010
10000,9,2n^3,28.324168,2e+012
10000,10,2^32*n,31.391050,4.29497e+013
10000,11,n^log2(n),122.384354,1.4153e+053
10000,12,3^n,10986.122887,1.#INF
50000,1,1/n,-10.819778,2e-005
50000,2,log2(n),2.747889,15.6096
50000,3,n^0.51,5.518087,249.158
50000,4,12*sqrt(n),7.894796,2683.28
50000,5,50*n^0.5,9.321912,11180.3
50000,6,n*log2(n),13.567667,780482
50000,7,n^2-324,21.639556,2.5e+009
50000,8,100n^2+6n,26.244728,2.5e+011
50000,9,2^32*n,33.000488,2.14748e+014
50000,10,2n^3,33.152482,2.5e+014
50000,11,n^log2(n),168.892849,2.23477e+073
50000,12,3^n,54930.614433,1.#INF
