structure,operation,n,time_us
UnsortedArray,Search,500,0.7480
UnsortedArray,Insert,500,0.0040
UnsortedArray,Delete,500,0.0040
UnsortedArray,Max,500,0.3040
UnsortedArray,Min,500,0.2960
UnsortedArray,Predecessor,500,0.6520
UnsortedArray,Successor,500,0.4560
SortedArray,Search,500,0.0280
SortedArray,Insert,500,0.4240
SortedArray,Delete,500,0.4480
SortedArray,Max,500,0.0040
SortedArray,Min,500,0.0040
SortedArray,Predecessor,500,0.0320
SortedArray,Successor,500,0.0200
SLL_Unsorted,Search,500,0.9360
SLL_Unsorted,Insert,500,0.0320
SLL_Unsorted,Delete,500,1.0880
SLL_Unsorted,Max,500,0.8720
SLL_Unsorted,Min,500,0.8320
SLL_Unsorted,Predecessor,500,0.6440
SLL_Unsorted,Successor,500,0.7920
SLL_Sorted,Search,500,0.8280
SLL_Sorted,Insert,500,0.7680
SLL_Sorted,Delete,500,0.7760
SLL_Sorted,Max,500,0.7760
SLL_Sorted,Min,500,0.0040
SLL_Sorted,Predecessor,500,0.8320
SLL_Sorted,Successor,500,0.0040
DLL_Unsorted,Search,500,0.7120
DLL_Unsorted,Insert,500,0.0280
DLL_Unsorted,Delete,500,0.0240
DLL_Unsorted,Max,500,0.6000
DLL_Unsorted,Min,500,0.6840
DLL_Unsorted,Predecessor,500,0.6960
DLL_Unsorted,Successor,500,0.7920
DLL_Sorted,Search,500,0.8320
DLL_Sorted,Insert,500,1.0840
DLL_Sorted,Delete,500,0.0200
DLL_Sorted,Max,500,0.0040
DLL_Sorted,Min,500,0.0040
DLL_Sorted,Predecessor,500,0.0040
DLL_Sorted,Successor,500,0.0040
UnsortedArray,Search,1000,0.5920
UnsortedArray,Insert,1000,0.0040
UnsortedArray,Delete,1000,0.0040
UnsortedArray,Max,1000,0.5760
UnsortedArray,Min,1000,0.5600
UnsortedArray,Predecessor,1000,1.2440
UnsortedArray,Successor,1000,0.8720
SortedArray,Search,1000,0.0320
SortedArray,Insert,1000,1.1760
SortedArray,Delete,1000,0.8240
SortedArray,Max,1000,0.0040
SortedArray,Min,1000,0.0080
SortedArray,Predecessor,1000,0.0320
SortedArray,Successor,1000,0.0200
SLL_Unsorted,Search,1000,1.4120
SLL_Unsorted,Insert,1000,0.1520
SLL_Unsorted,Delete,1000,1.4960
SLL_Unsorted,Max,1000,1.3160
SLL_Unsorted,Min,1000,1.3720
SLL_Unsorted,Predecessor,1000,1.2640
SLL_Unsorted,Successor,1000,1.5800
SLL_Sorted,Search,1000,1.6520
SLL_Sorted,Insert,1000,1.3360
SLL_Sorted,Delete,1000,1.4840
SLL_Sorted,Max,1000,1.3320
SLL_Sorted,Min,1000,0.0040
SLL_Sorted,Predecessor,1000,1.7880
SLL_Sorted,Successor,1000,0.0040
DLL_Unsorted,Search,1000,1.4160
DLL_Unsorted,Insert,1000,0.0320
DLL_Unsorted,Delete,1000,0.0200
DLL_Unsorted,Max,1000,1.2000
DLL_Unsorted,Min,1000,1.3480
DLL_Unsorted,Predecessor,1000,1.2640
DLL_Unsorted,Successor,1000,1.5960
DLL_Sorted,Search,1000,1.6520
DLL_Sorted,Insert,1000,1.2400
DLL_Sorted,Delete,1000,0.0200
DLL_Sorted,Max,1000,0.0040
DLL_Sorted,Min,1000,0.0040
DLL_Sorted,Predecessor,1000,0.0000
DLL_Sorted,Successor,1000,0.0040
UnsortedArray,Search,2000,1.6080
UnsortedArray,Insert,2000,0.0080
UnsortedArray,Delete,2000,0.0040
UnsortedArray,Max,2000,1.1160
UnsortedArray,Min,2000,1.1200
UnsortedArray,Predecessor,2000,2.4160
UnsortedArray,Successor,2000,2.0400
SortedArray,Search,2000,0.0320
SortedArray,Insert,2000,2.3840
SortedArray,Delete,2000,2.1240
SortedArray,Max,2000,0.0040
SortedArray,Min,2000,0.0040
SortedArray,Predecessor,2000,0.0440
SortedArray,Successor,2000,0.0280
SLL_Unsorted,Search,2000,2.8720
SLL_Unsorted,Insert,2000,0.0280
SLL_Unsorted,Delete,2000,2.9720
SLL_Unsorted,Max,2000,2.7800
SLL_Unsorted,Min,2000,2.7480
SLL_Unsorted,Predecessor,2000,2.5160
SLL_Unsorted,Successor,2000,4.2680
SLL_Sorted,Search,2000,3.6680
SLL_Sorted,Insert,2000,2.4960
SLL_Sorted,Delete,2000,3.1120
SLL_Sorted,Max,2000,2.5760
SLL_Sorted,Min,2000,0.0040
SLL_Sorted,Predecessor,2000,3.2080
SLL_Sorted,Successor,2000,0.0040
DLL_Unsorted,Search,2000,3.2320
DLL_Unsorted,Insert,2000,0.0400
DLL_Unsorted,Delete,2000,0.0320
DLL_Unsorted,Max,2000,6.3680
DLL_Unsorted,Min,2000,6.1280
DLL_Unsorted,Predecessor,2000,2.6640
DLL_Unsorted,Successor,2000,3.2680
DLL_Sorted,Search,2000,3.3760
DLL_Sorted,Insert,2000,3.2880
DLL_Sorted,Delete,2000,0.0200
DLL_Sorted,Max,2000,0.0040
DLL_Sorted,Min,2000,0.0040
DLL_Sorted,Predecessor,2000,0.0040
DLL_Sorted,Successor,2000,0.0040
UnsortedArray,Search,4000,2.2280
UnsortedArray,Insert,4000,0.0040
UnsortedArray,Delete,4000,0.0040
UnsortedArray,Max,4000,2.2000
UnsortedArray,Min,4000,2.2240
UnsortedArray,Predecessor,4000,4.8160
UnsortedArray,Successor,4000,3.4560
SortedArray,Search,4000,0.0360
SortedArray,Insert,4000,4.2760
SortedArray,Delete,4000,3.0000
SortedArray,Max,4000,0.0040
SortedArray,Min,4000,0.0040
SortedArray,Predecessor,4000,0.0320
SortedArray,Successor,4000,0.0200
SLL_Unsorted,Search,4000,8.7640
SLL_Unsorted,Insert,4000,0.0280
SLL_Unsorted,Delete,4000,8.0320
SLL_Unsorted,Max,4000,9.2960
SLL_Unsorted,Min,4000,9.6120
SLL_Unsorted,Predecessor,4000,10.4440
SLL_Unsorted,Successor,4000,9.0280
SLL_Sorted,Search,4000,8.8680
SLL_Sorted,Insert,4000,6.5600
SLL_Sorted,Delete,4000,6.7320
SLL_Sorted,Max,4000,6.3760
SLL_Sorted,Min,4000,0.0040
SLL_Sorted,Predecessor,4000,6.3840
SLL_Sorted,Successor,4000,0.0040
DLL_Unsorted,Search,4000,8.5040
DLL_Unsorted,Insert,4000,0.0280
DLL_Unsorted,Delete,4000,0.0240
DLL_Unsorted,Max,4000,7.8760
DLL_Unsorted,Min,4000,9.3240
DLL_Unsorted,Predecessor,4000,7.8320
DLL_Unsorted,Successor,4000,9.5400
DLL_Sorted,Search,4000,9.8520
DLL_Sorted,Insert,4000,12.6720
DLL_Sorted,Delete,4000,0.0320
DLL_Sorted,Max,4000,0.0040
DLL_Sorted,Min,4000,0.0040
DLL_Sorted,Predecessor,4000,0.0040
DLL_Sorted,Successor,4000,0.0040
UnsortedArray,Search,8000,11.2200
UnsortedArray,Insert,8000,0.0080
UnsortedArray,Delete,8000,0.0040
UnsortedArray,Max,8000,9.3720
UnsortedArray,Min,8000,8.5880
UnsortedArray,Predecessor,8000,10.7680
UnsortedArray,Successor,8000,7.4160
SortedArray,Search,8000,0.0440
SortedArray,Insert,8000,5.8200
SortedArray,Delete,8000,6.6360
SortedArray,Max,8000,0.0080
SortedArray,Min,8000,0.0080
SortedArray,Predecessor,8000,0.0400
SortedArray,Successor,8000,0.0240
SLL_Unsorted,Search,8000,18.1200
SLL_Unsorted,Insert,8000,0.0400
SLL_Unsorted,Delete,8000,16.5120
SLL_Unsorted,Max,8000,18.1800
SLL_Unsorted,Min,8000,15.6800
SLL_Unsorted,Predecessor,8000,14.0200
SLL_Unsorted,Successor,8000,16.9800
SLL_Sorted,Search,8000,17.5920
SLL_Sorted,Insert,8000,15.0040
SLL_Sorted,Delete,8000,15.4440
SLL_Sorted,Max,8000,13.9080
SLL_Sorted,Min,8000,0.0040
SLL_Sorted,Predecessor,8000,14.7000
SLL_Sorted,Successor,8000,0.0040
DLL_Unsorted,Search,8000,17.5880
DLL_Unsorted,Insert,8000,0.0440
DLL_Unsorted,Delete,8000,0.0320
DLL_Unsorted,Max,8000,15.2560
DLL_Unsorted,Min,8000,17.8160
DLL_Unsorted,Predecessor,8000,14.8080
DLL_Unsorted,Successor,8000,17.9040
DLL_Sorted,Search,8000,17.7040
DLL_Sorted,Insert,8000,16.6040
DLL_Sorted,Delete,8000,0.0240
DLL_Sorted,Max,8000,0.0040
DLL_Sorted,Min,8000,0.0040
DLL_Sorted,Predecessor,8000,0.0040
DLL_Sorted,Successor,8000,0.0040
UnsortedArray,Search,12000,6.5680
UnsortedArray,Insert,12000,0.0080
UnsortedArray,Delete,12000,0.0040
UnsortedArray,Max,12000,6.5720
UnsortedArray,Min,12000,6.5880
UnsortedArray,Predecessor,12000,14.3880
UnsortedArray,Successor,12000,10.5960
SortedArray,Search,12000,0.0440
SortedArray,Insert,12000,9.4440
SortedArray,Delete,12000,9.5640
SortedArray,Max,12000,0.0040
SortedArray,Min,12000,0.0040
SortedArray,Predecessor,12000,0.0400
SortedArray,Successor,12000,0.0240
SLL_Unsorted,Search,12000,23.1760
SLL_Unsorted,Insert,12000,0.0240
SLL_Unsorted,Delete,12000,21.1600
SLL_Unsorted,Max,12000,22.7320
SLL_Unsorted,Min,12000,29.4240
SLL_Unsorted,Predecessor,12000,37.9120
SLL_Unsorted,Successor,12000,32.3840
SLL_Sorted,Search,12000,31.4160
SLL_Sorted,Insert,12000,21.8640
SLL_Sorted,Delete,12000,26.6840
SLL_Sorted,Max,12000,21.3720
SLL_Sorted,Min,12000,0.0040
SLL_Sorted,Predecessor,12000,21.9240
SLL_Sorted,Successor,12000,0.0040
DLL_Unsorted,Search,12000,30.3520
DLL_Unsorted,Insert,12000,0.0400
DLL_Unsorted,Delete,12000,0.0280
DLL_Unsorted,Max,12000,27.1160
DLL_Unsorted,Min,12000,40.7000
DLL_Unsorted,Predecessor,12000,26.2600
DLL_Unsorted,Successor,12000,37.1320
DLL_Sorted,Search,12000,33.2000
DLL_Sorted,Insert,12000,37.8520
DLL_Sorted,Delete,12000,0.0720
DLL_Sorted,Max,12000,0.0120
DLL_Sorted,Min,12000,0.0040
DLL_Sorted,Predecessor,12000,0.0040
DLL_Sorted,Successor,12000,0.0040
UnsortedArray,Search,16000,9.7640
UnsortedArray,Insert,16000,0.0080
UnsortedArray,Delete,16000,0.0040
UnsortedArray,Max,16000,9.8280
UnsortedArray,Min,16000,10.7520
UnsortedArray,Predecessor,16000,23.0480
UnsortedArray,Successor,16000,22.1840
SortedArray,Search,16000,0.0480
SortedArray,Insert,16000,17.6760
SortedArray,Delete,16000,23.3720
SortedArray,Max,16000,0.0040
SortedArray,Min,16000,0.0040
SortedArray,Predecessor,16000,0.0480
SortedArray,Successor,16000,0.0280
SLL_Unsorted,Search,16000,35.4120
SLL_Unsorted,Insert,16000,0.0520
SLL_Unsorted,Delete,16000,30.8040
SLL_Unsorted,Max,16000,31.0760
SLL_Unsorted,Min,16000,31.1640
SLL_Unsorted,Predecessor,16000,26.3920
SLL_Unsorted,Successor,16000,33.2240
SLL_Sorted,Search,16000,41.4480
SLL_Sorted,Insert,16000,30.0280
SLL_Sorted,Delete,16000,37.7880
SLL_Sorted,Max,16000,36.0760
SLL_Sorted,Min,16000,0.0040
SLL_Sorted,Predecessor,16000,31.9440
SLL_Sorted,Successor,16000,0.0040
DLL_Unsorted,Search,16000,57.3480
DLL_Unsorted,Insert,16000,0.1320
DLL_Unsorted,Delete,16000,0.0680
DLL_Unsorted,Max,16000,43.5440
DLL_Unsorted,Min,16000,35.9920
DLL_Unsorted,Predecessor,16000,29.4840
DLL_Unsorted,Successor,16000,43.0360
DLL_Sorted,Search,16000,39.3880
DLL_Sorted,Insert,16000,37.1520
DLL_Sorted,Delete,16000,0.0360
DLL_Sorted,Max,16000,0.0040
DLL_Sorted,Min,16000,0.0040
DLL_Sorted,Predecessor,16000,0.0080
DLL_Sorted,Successor,16000,0.0040
UnsortedArray,Search,20000,13.6040
UnsortedArray,Insert,20000,0.0080
UnsortedArray,Delete,20000,0.0040
UnsortedArray,Max,20000,13.3440
UnsortedArray,Min,20000,13.5480
UnsortedArray,Predecessor,20000,28.8160
UnsortedArray,Successor,20000,21.0480
SortedArray,Search,20000,0.0560
SortedArray,Insert,20000,17.2880
SortedArray,Delete,20000,17.7000
SortedArray,Max,20000,0.0040
SortedArray,Min,20000,0.0040
SortedArray,Predecessor,20000,0.0440
SortedArray,Successor,20000,0.0320
SLL_Unsorted,Search,20000,54.3080
SLL_Unsorted,Insert,20000,0.1360
SLL_Unsorted,Delete,20000,55.8520
SLL_Unsorted,Max,20000,48.8360
SLL_Unsorted,Min,20000,45.6600
SLL_Unsorted,Predecessor,20000,34.9160
SLL_Unsorted,Successor,20000,42.2200
SLL_Sorted,Search,20000,46.3120
SLL_Sorted,Insert,20000,34.8600
SLL_Sorted,Delete,20000,37.8240
SLL_Sorted,Max,20000,33.3920
SLL_Sorted,Min,20000,0.0040
SLL_Sorted,Predecessor,20000,35.9720
SLL_Sorted,Successor,20000,0.0040
DLL_Unsorted,Search,20000,51.2080
DLL_Unsorted,Insert,20000,0.1040
DLL_Unsorted,Delete,20000,0.0360
DLL_Unsorted,Max,20000,47.8440
DLL_Unsorted,Min,20000,50.5680
DLL_Unsorted,Predecessor,20000,37.4320
DLL_Unsorted,Successor,20000,44.1440
DLL_Sorted,Search,20000,45.2320
DLL_Sorted,Insert,20000,42.5840
DLL_Sorted,Delete,20000,0.0240
DLL_Sorted,Max,20000,0.0040
DLL_Sorted,Min,20000,0.0040
DLL_Sorted,Predecessor,20000,0.0040
DLL_Sorted,Successor,20000,0.0080
UnsortedArray,Search,24000,14.5960
UnsortedArray,Insert,24000,0.0080
