algorithm,n,time_us,comparisons
MergeSort2way,1000,69.5600,8694
MergeSort3way,1000,58.6800,10763
MergeSort2way,2000,163.8200,19396
MergeSort3way,2000,150.5600,24032
MergeSort2way,4000,375.3800,42826
MergeSort3way,4000,333.8400,53178
MergeSort2way,8000,885.7000,93643
MergeSort3way,8000,925.6800,116616
MergeSort2way,16000,1784.8600,203311
MergeSort3way,16000,1458.4400,252818
MergeSort2way,32000,4258.7800,438611
MergeSort3way,32000,5009.7600,547093
MergeSort2way,64000,13226.2400,941163
MergeSort3way,64000,9076.0800,1175052
MergeSort2way,128000,19128.1600,2010287
MergeSort3way,128000,15868.3400,2503884
MergeSort2way,256000,34700.8200,4276462
MergeSort3way,256000,31456.1000,5344556
MergeSort2way,512000,69706.6000,9065015
MergeSort3way,512000,59874.1000,11330065
