method,n,k,time_us
Method1_Sequential,2000,2,22.9600
Method2_Pairwise,2000,2,19.7800
Method1_Sequential,2000,4,134.6000
Method2_Pairwise,2000,4,143.3800
Method1_Sequential,2000,8,287.0000
Method2_Pairwise,2000,8,792.1600
Method1_Sequential,2000,16,802.1400
Method2_Pairwise,2000,16,908.9200
Method1_Sequential,2000,32,2635.5600
Method2_Pairwise,2000,32,2347.0600
Method1_Sequential,2000,64,11952.7600
Method2_Pairwise,2000,64,6495.9400
Method1_Sequential,2000,128,44822.7000
Method2_Pairwise,2000,128,10544.0600
Method1_Sequential,2000,256,172866.9400
Method2_Pairwise,2000,256,26295.6600
Method1_Sequential,500,32,783.0200
Method2_Pairwise,500,32,582.5200
Method1_Sequential,1000,32,1478.8200
Method2_Pairwise,1000,32,1060.0000
Method1_Sequential,2000,32,2977.9000
Method2_Pairwise,2000,32,2195.0600
Method1_Sequential,4000,32,6041.0600
Method2_Pairwise,4000,32,5067.2800
Method1_Sequential,8000,32,12728.0000
Method2_Pairwise,8000,32,7605.2200
Method1_Sequential,16000,32,26216.2400
Method2_Pairwise,16000,32,14221.9400
Method1_Sequential,32000,32,52899.7200
Method2_Pairwise,32000,32,29228.0200
Method1_Sequential,64000,32,96585.2800
Method2_Pairwise,64000,32,42155.3200
